soort,varieteit,voorzaai datum,plant datum,direct gezaaid?,hoeveel meter?,plant aantal,oogst maand,productie,hoeveel mee genomen?,bron,waarom mislukt?,opmerkingen
ramenas,,,,2/5/2022,6,,,,,,,
reuzenspinazie,,,,20/9/2022,21,,,,,,,
reuzenspinazie,winter,,,2/9/2022,14,,,,,,,
rode biet,cylinder,,,12/4/2022,3,,9,,,,,
rode biet,,,,13/6/2022,4,,9,goed,,,,
rode biet,,13-06-2022,,ja,"3,5",,9,goed,alles,,,op rij handgezaaid
rode biet,,,,3/5/2022,6,,9,,alles,,,
rode biet cylinder,,,,11/5/2022,14,,10,goed,,,,
rode boerenkool,,,12/8/2022,,14,120.0,,,,,,aardvlo
rode boerenkool,,22/6/2022,6/8/2022,,9,50.0,,slecht,,,,"6 weken in perspot, vierweken in hittegolf, jongerius bijgeplant"
rode boerenkool,,,,27/08/22,9,,,,,,,breedwerpig- proef-bladoogst
rode kool,,,,,,,,,,,,
rode kool,,10/3/2022,20/5/2022,,12,40.0,6,matig,20,,,verpot 12/5/ in bemeste tuin
rode melde,,,,19/4/2022,5,,5,,,,,beter breedwerpig zaaien
rode spitskool,,,12/8/2022,,14,120.0,,,,,,aardvlo hittegolf
rodekool,,18/2/2022,30/4/2022,,14,40.0,7,goed,1/2,,,slakkenvraat
rucola,,,,13/4/2022,3,,,slecht,,,,geen groei
rucola,,,,2/5/2022,4,,6,,,,,
rucola/barbara,,,,2/9/2022,"3,5",,,,,,,
russische bladkool,,,,03/06/2022,4,,,,,,,
savooiekool,,,11/5/2022,,14,60.0,7,,1/3,,,slakken
schnittlauch,,,,13/6/2022,3,,,,,,,kruidentuin verplaatsen
schorseneren,,,,1/4/2022,,,,,,,,
selderij,,,?,,,,,,,,,
selderijsnij,,,11/5/2022,,14,70.0,7,goed,,jongerius,,
sla,,,,,,,,,,,,
sla,,,19/4/2022,,4,,,niet,,,,slakken
sla,,18/2/2022,30/4/2022,,14,20.0,6,goed,,,,slakkenvraat
sla,,,20/5/2022,,12,30.0,6,matig,15,,,slakken
sla,,,11/5/2022,,14,30.0,6,,,,,slakken
sla krop,,,25/7/2022,,9.0,,,slecht,,,,slakken
sla krop,,,3/06/,,9,,7,matig,alles,,,slakken
sla rougette,,6/8/2022,12/9/2022,,,,,,,,,
slamix,,,,29/7/2022,,,niets,,,,,
slamix,,,8/8/22,,,140.0,,niets,niets,jongerius,,alles door slakken opgegeten
slamix,,14/6/2022,28/7/2022,,6,20.0,9,goed,alles,,,augustus september  meer sla
slamix,Roulette,14/6/2022,28/7/2022,,3,20.0,9,Goed,Alles,,,
snijbiet,,,,2/5/2022,7,,7,goed,,,,nazaai handmatig
snijbiet,,,,25/4/2022,,,6,goed,,,,
snijbiet,,11/5/2022,,,4,,,,,,,
snijsla,,,,12/4/2022,2,,5,,alles,,,
snijsla,pittig,,,,4,,,,,,,te pittig
snijsla,Gemengde sla,,,30/3/2022,9,,4/5,matig,1/2,,,slakken
sperzibonen stam,,,,6/5/2022,14,,7,,,,,
spinazie,thorin,,,2 /09/2022,,,,,,,,br werpig
spinazie,thorin,,,20/8/2022,14,,,,,,,
spinazie,,,,06/08/2022,,,,,matig,,,
spinazie,,,,2/5/2022,9,,6,goed,alles,,,"te weinig, was nazaai"
spinazie,,,,2/5/2022,9,,6,,alles,,,
spinazie,Thorin,,,17/09/22,7,,,,,,,breedwerpig- nazaai
spitskool,,,11/5/2022,,14,60.0,7,goed,1/2,,,slakken
spitskool,,18/2/2022,30/4/2022,,14,40.0,7,goed,1/2,,,slakkenvraat
spruirbrocoli,,,11/5/2022,,14,70.0,9,slecht,,jongerius,,"geen spruiten, wel goede planten"
spruiten,,,6/8/2022,,28,80.0,,,,jongerius,,
spruiten,,,25/7,,14,140.0,,,,jongerius,,
spruitkool,,2/3/2022,,,"4,5",,,,,,,langzame groei
stamsperzibonen,,,,9/5/2022,14,,7,,,,,
stengelselderij,,,12/5/2022,,9,,,,,,,
stengelui,,,11/5/2022,,9,,,,,,,
stokslabonen blauhilde,,,,9/5/2022,14,,7,,,,,
stokslaboon,,,25/7,,14,,,,,,,
stoksnijbonen,,,,11/5/2022,14,,7,,,,,
stoksnijboon,,,25/7/2022,,14,,,,,,,
sugarsnaps,,,,5/4/2022,7,,6,,,,,
tuinbbonen,,,,5/4//2022,14,,7,,,,,
tuinbonen,,,,18/2/2022,,,,,,,,
tuinbonen,,,,18/3/2022,14,,7,,,,,
tuinbonen,,,,8/3/2022,14,,7,,,,,
ui,,,,4/5/2022,4,,6,,,,,
ui,plantui,,,14/6/2022,9,,8,,alles,,,te weinig
uien,,,,11/9/2022,"4,5",,,,,,,breedwerpig proef voorjaarsui
veldsla,,,12/5/2022,,7,140.0,,slecht,niets,jongerius,,groeide niet
veldsla,,,9/9/2022,,4.0,,,,,,,
veldsla,,,,12/9/2022,,,,,,,,
veldsla,,20/8/2022,,,,,,,,,,
veldsla,,,,2/9/2022,5,,,,,,,
veldsla,,,,11/9/2022,"4,5",,,,,,,breedwerpig kiemt goed
venkelknol,,,28/6/2022,,7,140.0,8,goed,alles,jongerius,,drie rijen- 10 cm afstand
venkelvoorzaai,,,,14/6/2022,4,,9,,alles,,,"niet meer uitgepland, goed"
voorzaaibed prei,,,,14/6/2022,4,,,,,,,"goede voorzaai in klei, en nagroei"
winterbloemkool,,,25/7/2022,,14,80.0,,,,,,
winterbloemkool,,,13/8/2022,,12,100.0,,,,jongerius,,aardvlo hittegolf
winterpostelein,,,,1/9/2022,9,,,,,,,
winterpostelein,,,,13/9/2022,7,,,,,,,wortel bushboon in grond
winterpostelein,,,,12/9/2022,,,,,,,,
witte kool,,,,,,,,,,,,
wortel,,,,13/4/2022,9,,6,matig,goed,,,slechte kieminglangzame groei
wortel,zomer,,,14/6/2022,9,,8,,alles,,,te weinig
wortel,zomer,,,16/5/2022,9,,8,redelijk,alles,,,te weinig
wortel,zomer,,,14/6/2022,7,,9,goed,alles,,,handmatig gezaaid
wortel,winter,,,14/6/2022,9,,,,,,,
wortel,gemengdzomer,,,14/6/2022,7,,9,goed,alles,,,handmatig gezaaid
wortel,,,,13/3/2022,"4,5",,,niet,,,,"geen kieming, zaaimachine"
"wortel, parijse",,,,13/4/2022,4,,,niet,,,,geen kieming
"wortel, parijse",,,,16/6/2022,"4,5",,9,matig,alles,,,zaaimachine
zomerpostelein,,,,22/4,9,,,,,,,breeswerpig te dicht gezaaid
